"Time (s)";"Acceleration (m/s²)"
1.735057500E1;-3.736516982E-3
1.739091900E1;-1.568164766E-2
1.743126300E1;3.105295435E-2
1.747160700E1;1.628698066E-2
1.751195200E1;5.457644910E-3
1.755229600E1;7.291770279E-3
1.759267100E1;2.355273083E-2
1.763301500E1;-1.789247990E-4
1.767335900E1;-6.074964702E-3
1.771370300E1;1.413827509E-2
1.775404800E1;6.303298473E-3
1.779442200E1;5.306055844E-3
1.783476700E1;8.336082995E-3
1.787511100E1;-1.765888363E-2
1.791545500E1;5.478548706E-3
1.795580346E1;2.114119291E-2
1.799617846E1;2.174009398E-2
1.803652246E1;-2.495401606E-2
1.807686746E1;-7.735866308E-4
1.811721146E1;4.326281771E-2
1.815755546E1;-9.563267380E-3
1.819793046E1;-3.228101581E-3
1.823827446E1;1.783751607E-2
1.827861846E1;1.692710459E-2
1.831896246E1;7.518642247E-3
1.835930746E1;4.617400020E-3
1.839968146E1;1.414339140E-2
1.844002646E1;-6.587326974E-3
1.848037046E1;1.889966279E-3
1.852071446E1;2.136192530E-2
1.856105846E1;9.431120306E-3
1.860143346E1;1.288331643E-2
1.864177746E1;8.007030934E-3
1.868212246E1;1.291708410E-2
1.872246646E1;-2.968485206E-3
1.876281046E1;3.045916960E-2
1.880318546E1;8.028519452E-3
1.884352946E1;-1.309425473E-2
1.888387346E1;1.811891332E-2
1.892421846E1;1.108018130E-2
1.896457246E1;2.887691304E-2
1.900491646E1;8.429930806E-3
1.904529146E1;-8.936592042E-3
1.908563546E1;2.095247403E-2
1.912597946E1;3.154061213E-2
1.916632446E1;3.068180233E-3
1.920666846E1;2.781228125E-3
1.924704346E1;-2.492960393E-3
1.928738746E1;2.506993711E-3
1.932773146E1;2.499699309E-2
1.936807546E1;-1.419996321E-3
1.940842046E1;4.114247113E-3
1.944879446E1;2.843778715E-2
1.948913946E1;1.634340629E-2
1.952948346E1;1.401650682E-2
1.956982746E1;-1.992438734E-3
1.961017146E1;-9.575838894E-3
1.965054646E1;3.361593515E-2
1.969089046E1;1.221688002E-2
1.973123446E1;1.979881838E-2
1.977157946E1;-1.159078941E-2
1.981192346E1;1.640290171E-3
1.985229846E1;3.884568483E-2
1.989264246E1;3.202213034E-2
1.993298646E1;-1.290158898E-2
1.997333896E1;-2.827479601E-2
2.001368396E1;3.830774099E-2
2.005405796E1;2.430643693E-2
2.009440296E1;2.518103421E-3
2.013474696E1;2.250052437E-2
2.017509096E1;1.818060145E-2
2.021543496E1;-2.118592411E-3
2.025577996E1;2.147813872E-2
2.029615396E1;2.301113248E-2
2.033649896E1;2.909472182E-2
2.037684296E1;2.439984620E-2
2.041718696E1;9.760464728E-3
2.045753096E1;-4.462741166E-3
2.049790596E1;2.017859504E-2
2.053824996E1;-1.199117750E-3
2.057859496E1;-6.047336608E-3
2.061893896E1;2.684047401E-2
2.065928296E1;1.866460472E-2
2.069965796E1;1.909335181E-2
2.074000196E1;-1.346759945E-3
2.078034596E1;1.388377503E-2
2.082068996E1;4.901282340E-3
2.086103496E1;1.213706553E-2
2.090140896E1;1.717195675E-2
2.094174371E1;8.590583056E-3
2.098208771E1;-8.848299086E-4
2.102243171E1;-8.812777251E-3
2.106277571E1;3.425196603E-2
2.110315071E1;1.830573186E-2
2.114349471E1;-1.032033563E-4
2.118383971E1;2.325583845E-2
2.122418371E1;1.135982439E-2
2.126452771E1;1.475106329E-2
2.130490271E1;3.494588435E-3
2.134524671E1;1.697300524E-2
2.138559071E1;1.529105365E-2
2.142593571E1;3.367908508E-2
2.146627971E1;2.266336933E-2
2.150662371E1;-1.706656069E-3
2.154699871E1;8.921681643E-3
2.158734271E1;6.025117189E-3
2.162768671E1;-3.528283015E-2
2.166803171E1;5.285736769E-3
2.170837571E1;5.019629985E-2
2.174875071E1;1.099188834E-2
